id,kanji,hiragana,english,category,emoji
1,猫,ねこ,cat,animals,🐱
2,犬,いぬ,dog,animals,🐶
3,魚,さかな,fish,animals,🐟
4,鳥,とり,bird,animals,🐦
5,馬,うま,horse,animals,🐴
6,牛,うし,cow,animals,🐄
7,豚,ぶた,pig,animals,🐷
8,兎,うさぎ,rabbit,animals,🐰
9,熊,くま,bear,animals,🐻
10,象,ぞう,elephant,animals,🐘
11,林檎,りんご,apple,food,🍎
12,バナナ,ばなな,banana,food,🍌
13,苺,いちご,strawberry,food,🍓
14,葡萄,ぶどう,grape,food,🍇
15,西瓜,すいか,watermelon,food,🍉
16,橙,みかん,orange,food,🍊
17,桃,もも,peach,food,🍑
18,梨,なし,pear,food,🍐
19,赤,あか,red,colors,🔴
20,青,あお,blue,🔵
21,黄色,きいろ,yellow,colors,🟡
22,緑,みどり,green,colors,🟢
23,白,しろ,white,colors,⬜
24,黒,くろ,black,colors,⬛
25,桃色,ももいろ,pink,colors,🩷
26,紫,むらさき,purple,colors,🟣
27,国,くに,country,world,🌍
28,日本,にほん,Japan,world,🇯🇵
29,山,やま,mountain,nature,⛰️
30,海,うみ,sea,nature,🌊
31,川,かわ,river,nature,🏞️
32,花,はな,flower,nature,🌸
33,木,き,tree,nature,🌳
34,空,そら,sky,nature,🌤️
35,太陽,たいよう,sun,nature,☀️
36,月,つき,moon,nature,🌙
37,星,ほし,star,nature,⭐
38,雨,あめ,rain,nature,🌧️
39,学校,がっこう,school,places,🏫
40,家,いえ,house,places,🏠
41,車,くるま,car,transport,🚗
42,電車,でんしゃ,train,transport,🚃
43,自転車,じてんしゃ,bicycle,transport,🚲
44,飛行機,ひこうき,airplane,transport,✈️
45,船,ふね,ship,transport,🚢
46,本,ほん,book,school,📚
47,鉛筆,えんぴつ,pencil,school,✏️
48,消しゴム,けしごむ,eraser,school,🧹
49,先生,せんせい,teacher,school,👩‍🏫
50,友達,ともだち,friend,people,👫
